frase,emoji
Estoy feliz,😊
Me siento triste,😔
Tengo hambre,🍔
Tengo sed,🥛
Buenas noches,😴
Buenos días,☀️
Te amo,😍
Me gustan los gatos,🐈
Estoy cansado,😴
Qué frío,🥶
Estoy emocionado,🤩
Me siento bien,🙂
Qué calor,🥵
Me duele la cabeza,🤕
Estoy ocupado,💼
Me siento solo,😞
Vamos a bailar,💃
Me siento agradecido,🙏
Estoy alegre,😄
Me siento nervioso,😬
Hoy es un buen día,🌞
No me encuentro bien,😷
Me siento motivado,💪
Estoy confundido,🤔
Qué bonito es esto,😍
Me siento relajado,🧘‍♂️
Estoy cansado de todo,😩
Estoy aprendiendo,📚
Me siento seguro,🛡️
Estoy sorprendido,😲
No tengo tiempo,⏳
Estoy enamorado,💘
Qué rico está esto,🤤
Estoy contento,😊
Qué aburrido,😒
Estoy inspirado,✨
Me siento valiente,🦸‍♂️
Estoy enojado,😡
Qué lindo es esto,🥰
Tengo sueño,😴
Estoy de buen humor,😁
Me siento agradecido,🙌
Estoy distraído,😌
Me siento curioso,🧐
Qué divertido,😂
Me siento solo,😞
Qué vergüenza,😳
Estoy preparado,🏋️‍♀️
Qué triste,😢
Estoy concentrado,🧠
Qué emoción,🤩
Estoy descansando,🛌
Estoy preocupado,😟
Tengo miedo,😱
Me siento feliz,😊
Estoy trabajando,🖥️
Qué delicioso,😋
Estoy aburrido,😑
Me siento culpable,😔
Me siento mal,🤢
Estoy disfrutando,🎉
Me siento optimista,🌈
Estoy curioso,🤨
Qué bueno que es,😁
Estoy relajado,😌
Me siento orgulloso,🏆
Me siento pequeño,🐣
Estoy triste pero fuerte,💪😔
Qué elegante,👗
Estoy cansado de esperar,🕰️
Estoy tomando un descanso,🍵
Me siento atrapado,🕳️
Estoy emocionado por esto,🎊
Me siento desconectado,🌐
Estoy esperando algo,⏰
Qué misterioso,🕵️
Estoy agradecido por todo,🙏
Me siento curioso sobre esto,🤔
Me siento cansado de todo,😩
Estoy emocionado por la noticia,📰
Qué risa,😂
Estoy disfrutando mucho,🍿
Qué relajante,🌿
Estoy completamente agotado,🥱
Me siento en paz,☮️
Estoy tan feliz que quiero bailar,💃
Qué miedo,😨
Estoy trabajando mucho,💻
Qué mal olor,🤢
Me siento bien con mi vida,💖
Estoy tan agradecido,🙏
Estoy preocupado por el futuro,🌧️
Qué impresionante,😲
Estoy listo para dormir,🛏️
Qué rápido pasa el tiempo,⏳
Estoy buscando algo,🔍
Me siento extraño,🤷‍♂️
Estoy buscando respuestas,🧐
Qué emocionante,😱
Me siento relajado en la naturaleza,🌳
Qué frío está afuera,🥶
Me siento útil,🦸‍♂️
Estoy tan feliz que no puedo parar de sonreír,😀
Qué divertido está todo,🤩
Me siento agotado de tanto trabajar,🧑‍💻
Estoy listo para lo que venga,🏃‍♂️
